"client_home_elapsed_seconds";"client_home_error_msg";"client_home_http_code";"client_home_result";"client_home_started_time";"client_home_stopped_time";"server_buy_cpu_usage";"server_buy_memory_usage";"server_buy_elapsed_seconds";"server_buy_error_msg";"server_buy_result";"server_buy_started_time";"server_buy_stopped_time";"client_buy_elapsed_seconds";"client_buy_error_msg";"client_buy_http_code";"client_buy_result";"client_buy_started_time";"client_buy_stopped_time"
0.028;"";200;True;"2014-12-30T02:11:26.030936";"2014-12-30T02:11:26.058845";10.0;3382;0.151;"";True;"2014-12-30T02:11:26.060809";"2014-12-30T02:11:26.212273";1.016;"";200;True;"2014-12-30T02:11:26.058894";"2014-12-30T02:11:27.075010"
0.026;"";200;True;"2014-12-30T02:11:27.075862";"2014-12-30T02:11:27.102205";9.9;3381;0.142;"";True;"2014-12-30T02:11:27.104944";"2014-12-30T02:11:27.246477";1.023;"";200;True;"2014-12-30T02:11:27.102309";"2014-12-30T02:11:28.125781"
0.018;"";200;True;"2014-12-30T02:11:28.126230";"2014-12-30T02:11:28.143807";10.0;3381;0.145;"";True;"2014-12-30T02:11:28.146527";"2014-12-30T02:11:28.291164";1.025;"";200;True;"2014-12-30T02:11:28.143854";"2014-12-30T02:11:29.168815"
0.022;"";200;True;"2014-12-30T02:11:29.169113";"2014-12-30T02:11:29.190679";11.7;3382;0.222;"";True;"2014-12-30T02:11:29.192318";"2014-12-30T02:11:29.414690";1.021;"";200;True;"2014-12-30T02:11:29.190716";"2014-12-30T02:11:30.211948"
0.029;"";200;True;"2014-12-30T02:11:30.212330";"2014-12-30T02:11:30.241392";9.8;3382;0.147;"";True;"2014-12-30T02:11:30.245342";"2014-12-30T02:11:30.392571";1.019;"";200;True;"2014-12-30T02:11:30.241455";"2014-12-30T02:11:31.260573"
0.024;"";200;True;"2014-12-30T02:11:31.261042";"2014-12-30T02:11:31.285036";11.8;3384;0.14;"";True;"2014-12-30T02:11:31.286686";"2014-12-30T02:11:31.426965";1.018;"";200;True;"2014-12-30T02:11:31.285072";"2014-12-30T02:11:32.302677"
0.025;"";200;True;"2014-12-30T02:11:32.302998";"2014-12-30T02:11:32.328455";11.5;3387;0.13;"";True;"2014-12-30T02:11:32.330584";"2014-12-30T02:11:32.460335";1.018;"";200;True;"2014-12-30T02:11:32.328514";"2014-12-30T02:11:33.346888"
0.024;"";200;True;"2014-12-30T02:11:33.347343";"2014-12-30T02:11:33.371760";10.3;3385;0.142;"";True;"2014-12-30T02:11:33.374844";"2014-12-30T02:11:33.516669";1.022;"";200;True;"2014-12-30T02:11:33.371820";"2014-12-30T02:11:34.394260"
0.032;"";200;True;"2014-12-30T02:11:34.394442";"2014-12-30T02:11:34.426646";9.9;3385;0.134;"";True;"2014-12-30T02:11:34.430441";"2014-12-30T02:11:34.564628";1.019;"";200;True;"2014-12-30T02:11:34.426712";"2014-12-30T02:11:35.445904"
0.026;"";200;True;"2014-12-30T02:11:35.446690";"2014-12-30T02:11:35.472642";13.6;3386;0.135;"";True;"2014-12-30T02:11:35.474159";"2014-12-30T02:11:35.609560";1.02;"";200;True;"2014-12-30T02:11:35.472678";"2014-12-30T02:11:36.493078"
