"concurrent_requests";"benchmark_title";"client_home_elapsed_seconds";"client_home_error_msg";"client_home_http_code";"client_home_result";"client_home_started_time";"client_home_stopped_time";"server_buy_cpu_usage";"server_buy_memory_usage";"server_buy_elapsed_seconds";"server_buy_error_msg";"server_buy_result";"server_buy_started_time";"server_buy_stopped_time";"client_buy_elapsed_seconds";"client_buy_error_msg";"client_buy_http_code";"client_buy_result";"client_buy_started_time";"client_buy_stopped_time"
1000;"";5.756;"";200;True;"2015-01-03T00:33:34.117753";"2015-01-03T00:33:39.873112";29.3;3093;0.234;"";True;"2015-01-03T00:33:40.520812";"2015-01-03T00:33:40.755203";7.334;"";200;True;"2015-01-03T00:33:39.873402";"2015-01-03T00:33:47.207806"
1000;"";5.549;"";200;True;"2015-01-03T00:33:33.983728";"2015-01-03T00:33:39.532351";30.6;3092;0.326;"";True;"2015-01-03T00:33:40.238147";"2015-01-03T00:33:40.563874";7.747;"";200;True;"2015-01-03T00:33:39.532684";"2015-01-03T00:33:47.280007"
1000;"";5.688;"";200;True;"2015-01-03T00:33:34.004528";"2015-01-03T00:33:39.692408";28.8;3093;0.369;"";True;"2015-01-03T00:33:40.736932";"2015-01-03T00:33:41.106341";7.86;"";200;True;"2015-01-03T00:33:39.692536";"2015-01-03T00:33:47.552222"
1000;"";6.285;"";200;True;"2015-01-03T00:33:34.224343";"2015-01-03T00:33:40.509662";29.1;3093;0.253;"";True;"2015-01-03T00:33:40.958638";"2015-01-03T00:33:41.211564";7.227;"";200;True;"2015-01-03T00:33:40.509860";"2015-01-03T00:33:47.736476"
1000;"";6.267;"";200;True;"2015-01-03T00:33:33.975911";"2015-01-03T00:33:40.243194";28.9;3093;0.353;"";True;"2015-01-03T00:33:40.806957";"2015-01-03T00:33:41.159991";7.657;"";200;True;"2015-01-03T00:33:40.243490";"2015-01-03T00:33:47.900925"
1000;"";6.741;"";200;True;"2015-01-03T00:33:34.275060";"2015-01-03T00:33:41.015588";27.0;3094;0.399;"";True;"2015-01-03T00:33:41.614512";"2015-01-03T00:33:42.013782";7.213;"";200;True;"2015-01-03T00:33:41.015869";"2015-01-03T00:33:48.229312"
1000;"";7.184;"";200;True;"2015-01-03T00:33:34.092366";"2015-01-03T00:33:41.276330";34.2;3096;0.908;"";True;"2015-01-03T00:33:42.998967";"2015-01-03T00:33:43.906745";8.556;"";200;True;"2015-01-03T00:33:41.276531";"2015-01-03T00:33:49.832556"
1000;"";7.949;"";200;True;"2015-01-03T00:33:34.576713";"2015-01-03T00:33:42.525627";33.1;3098;0.624;"";True;"2015-01-03T00:33:43.429225";"2015-01-03T00:33:44.053260";7.544;"";200;True;"2015-01-03T00:33:42.525862";"2015-01-03T00:33:50.070320"
1000;"";6.088;"";200;True;"2015-01-03T00:33:34.156968";"2015-01-03T00:33:40.245250";32.7;3098;0.618;"";True;"2015-01-03T00:33:43.488931";"2015-01-03T00:33:44.107178";9.893;"";200;True;"2015-01-03T00:33:40.245483";"2015-01-03T00:33:50.138819"
1000;"";6.349;"";200;True;"2015-01-03T00:33:34.063930";"2015-01-03T00:33:40.412497";32.7;3098;0.488;"";True;"2015-01-03T00:33:43.608947";"2015-01-03T00:33:44.096736";9.778;"";200;True;"2015-01-03T00:33:40.412623";"2015-01-03T00:33:50.191068"
1000;"";8.502;"";200;True;"2015-01-03T00:33:34.880737";"2015-01-03T00:33:43.382356";32.8;3098;0.529;"";True;"2015-01-03T00:33:43.571759";"2015-01-03T00:33:44.100854";6.89;"";200;True;"2015-01-03T00:33:43.382506";"2015-01-03T00:33:50.272285"
1000;"";6.249;"";200;True;"2015-01-03T00:33:34.000252";"2015-01-03T00:33:40.249371";33.2;3100;0.404;"";True;"2015-01-03T00:33:43.987021";"2015-01-03T00:33:44.390532";10.054;"";200;True;"2015-01-03T00:33:40.249567";"2015-01-03T00:33:50.303897"
1000;"";8.504;"";200;True;"2015-01-03T00:33:34.927153";"2015-01-03T00:33:43.431495";32.6;3098;0.462;"";True;"2015-01-03T00:33:43.638362";"2015-01-03T00:33:44.100780";6.916;"";200;True;"2015-01-03T00:33:43.431619";"2015-01-03T00:33:50.347273"
1000;"";8.014;"";200;True;"2015-01-03T00:33:35.164157";"2015-01-03T00:33:43.178296";32.9;3098;0.576;"";True;"2015-01-03T00:33:43.462262";"2015-01-03T00:33:44.038617";7.177;"";200;True;"2015-01-03T00:33:43.178483";"2015-01-03T00:33:50.355776"
1000;"";8.773;"";200;True;"2015-01-03T00:33:34.556936";"2015-01-03T00:33:43.329775";32.8;3098;0.531;"";True;"2015-01-03T00:33:43.554969";"2015-01-03T00:33:44.086270";7.042;"";200;True;"2015-01-03T00:33:43.329904";"2015-01-03T00:33:50.371871"
1000;"";6.616;"";200;True;"2015-01-03T00:33:33.978850";"2015-01-03T00:33:40.594718";33.4;3098;0.312;"";True;"2015-01-03T00:33:43.818192";"2015-01-03T00:33:44.130596";9.809;"";200;True;"2015-01-03T00:33:40.594916";"2015-01-03T00:33:50.403778"
1000;"";8.478;"";200;True;"2015-01-03T00:33:35.250855";"2015-01-03T00:33:43.729318";33.2;3098;0.366;"";True;"2015-01-03T00:33:43.968587";"2015-01-03T00:33:44.334452";6.745;"";200;True;"2015-01-03T00:33:43.729440";"2015-01-03T00:33:50.474162"
1000;"";6.391;"";200;True;"2015-01-03T00:33:34.261209";"2015-01-03T00:33:40.652051";33.4;3098;0.374;"";True;"2015-01-03T00:33:43.847090";"2015-01-03T00:33:44.220990";9.849;"";200;True;"2015-01-03T00:33:40.652290";"2015-01-03T00:33:50.501515"
